# Sheet: Version November 1, 2024
Part | Section | Abbreviations in Presentation | 英文 | 中文解释
1 | Introduction | Introduction | Introduction | 介绍
Always In Long | AIL | Always In Long | 一直看多：市场处于强烈的多头趋势，交易者应一直保持多头头寸。
BO of 18 Bar Range, above, below, and Back Above | BO 18 U D U | BO of 18 Bar Range, above, below, and Back Above | 18根K线范围突破，上下震荡后再度突破：市场波动剧烈，价格在区间上下多次震荡，暗示市场不确定性高。
No BO of 18 Bar Range | BO 18 No BO | No BO of 18 Bar Range | 18根K线范围内没有突破：市场在一定时间内未能突破区间，通常意味着市场处于整理阶段。
Breakout and Channel Bull Trend | BO and CH BL | Breakout and Channel Bull Trend | 突破后并伴随通道的牛市趋势：价格突破区间并形成一个上升通道，意味着多头趋势可能会持续。
Breakout and Channel Bear Trend | BO and CH BR | Breakout and Channel Bear Trend | 突破后并伴随通道的熊市趋势：价格突破区间并形成一个下降通道，意味着空头趋势可能会持续。
Failed Bull Breakout | BO BL F | Failed Bull Breakout | 多头突破失败：市场试图突破上行，但未能维持上涨，通常意味着多头力量减弱。
Bull Breakout (Major) -- New and modified sections now include all "Surprise" slides | BO BL Major | Bull Breakout (Major) | 多头突破（主要）：一个强烈的多头突破信号，通常伴随着较大幅度的价格变化。
Bull Breakout (Major) Failed | BO BL Major F | Bull Breakout (Major) Failed | 多头突破（主要）失败：虽然价格突破了多头方向，但最终未能持续上涨，预示市场可能出现反转。
Bull Breakout (Minor) | BO BL Minor | Bull Breakout (Minor) | 多头突破（次要）：一个相对较小的多头突破，可能是短期内的涨势，并不一定持续。
Failed Bear Breakout | BO BR F | Failed Bear Breakout | 空头突破失败：市场试图突破下行，但未能维持下跌，通常意味着空头力量减弱。
Bear Breakout (Major) | BO BR Major | Bear Breakout (Major) | 空头突破（主要）：一个强烈的空头突破信号，通常伴随着较大幅度的价格下跌。
Bear Breakout (Major) Failed | BO BR Major F | Bear Breakout (Major) Failed | 空头突破（主要）失败：尽管价格突破了下行，但最终未能持续下跌，预示市场可能出现反转。
Bear Breakout (Minor) | BO BR Minor | Bear Breakout (Minor) | 空头突破（次要）：一个相对较小的空头突破，可能是短期内的跌势，并不一定持续。
Bear BO, Then 2 Legs Down | BO D 2LD | Bear BO, Then 2 Legs Down | 空头突破后下跌两波：空头突破后，市场经历了两波下跌，通常是强烈的空头趋势。
Breakout: Small Bear Breakout below a Small Bear Breakout so Wedge Bottom | BO SBO2 D | Breakout: Small Bear Breakout below a Small Bear Breakout so Wedge Bottom | 突破：小的空头突破下跌，再加上小的空头突破形成楔形底部：价格在下跌的过程中形成了一个楔形底部结构，通常预示着反转。
Breakout: Small Bear Breakout below a Small Bear Breakout, but Wedge Bottom Failed | BO SBO2 D F | Breakout: Small Bear Breakout below a Small Bear Breakout, but Wedge Bottom Failed | 突破：小的空头突破下跌，再加上小的空头突破形成楔形底部，但楔形底部失败：楔形底部没有成功反转，空头势力可能依然占据主导地位。
Breakout: Small Bull Breakout above a Small Bull Breakout so Wedge Top | BO SBO2 U | Breakout: Small Bull Breakout above a Small Bull Breakout so Wedge Top | 突破：小的多头突破上升，再加上小的多头突破形成楔形顶部：价格在上涨过程中形成了楔形顶部结构，可能预示着价格将会回调。
Breakout: Small Bull Breakout above a Small Bull Breakout, but Wedge Top Failed | BO SBO2 U F | Breakout: Small Bull Breakout above a Small Bull Breakout, but Wedge Top Failed | 突破：小的多头突破上升，再加上小的多头突破形成楔形顶部，但楔形顶部失败：楔形顶部没有成功反转，多头势力可能依然占据主导地位。
BO Test in Bull Trend (PB to BO Point) | BO Test BL | BO Test in Bull Trend (PB to BO Point) | 牛市趋势中的突破测试（回调到突破点）：价格在牛市趋势中回调至突破点，测试突破是否有效。
BO Test in Bull Trend (PB to BO Point), Failed And Reversed Down | BO Test BL F | BO Test in Bull Trend (PB to BO Point), Failed And Reversed Down | 牛市趋势中的突破测试（回调到突破点），失败并反转下行：突破测试未能有效，市场反转下跌。
BO Test in Bear Trend (Rally to BO Point) | BO Test BR | BO Test in Bear Trend (Rally to BO Point) | 熊市趋势中的突破测试（反弹到突破点）：价格在熊市趋势中反弹至突破点，测试突破是否有效。
BO Test in Bear Trend (Rally to BO Point), Failed And Reversed Up | BO Test BR F | BO Test in Bear Trend (Rally to BO Point), Failed And Reversed Up | 熊市趋势中的突破测试（反弹到突破点），失败并反转上涨：突破测试未能有效，市场反转上涨。
BO of TR, but it Failed | BO TR F | BO of TR, but it Failed | 震荡区间突破，但失败：市场突破震荡区间，但未能维持突破方向，预示市场仍在震荡。
Bull BO | BO U | Bull BO | 多头突破：价格突破区间向上，可能意味着多头趋势的开始。
Bull BO, Then 2 Legs Up | BO U 2LU | Bull BO, Then 2 Legs Up | 多头突破后上涨两波：多头突破后，价格分两次上涨，通常表明强烈的多头趋势。
Breakout Mode | BOM | Breakout Mode | 突破模式：市场处于突破状态，可能会出现较大的价格波动。
Bear Trend Began before Bull Trend Ended | BR Began before BL ended | Bear Trend Began before Bull Trend Ended | 熊市在牛市结束之前开始：在牛市趋势未完全结束前，空头趋势开始形成，可能暗示市场逆转。
Buy The Close rally | BTC | Buy The Close rally | 收盘时的买入反弹：在交易结束前，价格可能出现反弹，吸引短期买盘。
Buy The Close, but Disappointed Bulls | BTC DBL | Buy The Close, but Disappointed Bulls | 收盘时买入，但多头失望：多头在收盘时进入市场，但价格未能如预期上涨，导致买盘失望。
Buy The Close, but Disappointed Bulls, then Bull Resumed | BTC DBL F | Buy The Close, but Disappointed Bulls, then Bull Resumed | 收盘时买入，但多头失望，之后多头恢复：尽管多头在收盘时受挫，但市场在之后恢复上涨。
Buy The Close, but Disappointed Bulls Lost Money | BTC DBL Lose | Buy The Close, but Disappointed Bulls Lost Money | 收盘时买入，但多头失望，导致亏损：多头在收盘时买入，但未能实现上涨，导致亏损。
Buy The Close, then Deep PB | BTC Deep PB | Buy The Close, then Deep PB | 收盘时买入，然后出现深度回调：在收盘时买入后，市场经历了较大的回调。
Buy The Close Failed and Became Exhaustion Gap | BTC EG | Buy The Close Failed and Became Exhaustion Gap | 收盘时买入失败并形成衰竭缺口：收盘时买入的反弹失败，形成了一个衰竭缺口，通常意味着市场的买盘力量已经耗尽。
Buy The Close at End Of Day | BTC EOD | Buy The Close at End Of Day | 收盘时买入：在市场收盘时进行买入，通常是短期反弹的策略。
Buy The Close at End Of Day, but Started Too Early | BTC EOD Too Early | Buy The Close at End Of Day, but Started Too Early | 收盘时买入，但开始太早：虽然计划在收盘时买入，但实际买入时机过早，未能捕捉到最佳反弹时机。
Buy The Close in TR so Better to S Close of Bull Bars | BTC TR so STC | Buy The Close in TR so Better to S Close of Bull Bars | 在震荡区间内收盘时买入，因此最好在多头K线收盘时卖出：在震荡区间内进行交易时，最好在上涨的K线结束时卖出以获得收益。
Big Up, Big Down so Big Confusion and Likely TR | BUDC | Big Up, Big Down so Big Confusion and Likely TR | 大涨大跌，造成大混乱，可能进入震荡区间：市场经历了大幅波动，常常意味着市场的不确定性增加，可能会进入整理期。
Big Up, Big Down, Big Up | BUDU | Big Up, Big Down, Big Up | 大涨大跌再大涨：市场经历了大幅波动，并最终恢复上涨，可能意味着市场情绪极度波动。
Buy Climaxes | BX | Buy Climaxes | 买入顶点：市场经历了过度的买入高潮，可能意味着市场即将进入回调阶段。
Consecutive Buy Climaxes | BX CC | Consecutive Buy Climaxes | 连续买入顶点：市场经历了连续的买入高潮，预示着市场可能面临极端的过度买入风险。
Buy Climax, Then Deep Pullback | BX Deep PB | Buy Climax, Then Deep Pullback | 买入顶点后出现深度回调：市场在买入高潮后，可能会出现较大的回调。
Buy Climax but Failed Reversal | BX F | Buy Climax but Failed Reversal | 买入顶点，但反转失败：尽管市场经历了买入顶点，但没有出现预期的价格反转，可能继续上涨。
Buy Climax and Measured Move Down | BX MMD | Buy Climax and Measured Move Down | 买入顶点后出现测量下跌：在买入顶点后，市场出现下跌，通常是基于某个测量目标的预期。
Buy Climax Yesterday | BX Y | Buy Climax Yesterday | 昨天的买入顶点：市场在前一天经历了买入高潮，今天可能会出现回调。
2 | Consecutive Complex Bottoms | CC Bottoms Complex | Consecutive Complex Bottoms | 连续复杂底部：市场形成多个复杂的底部结构，通常是震荡整理区间，意味着市场在经历一段时间的反转或调整。
Consecutive Complex Bottoms that Failed | CC Bottoms F | Consecutive Complex Bottoms that Failed | 连续复杂底部失败：多个复杂底部形成后，未能实现预期的反转，市场继续下跌，显示出空头力量的持续。
Consecutive Complex Tops | CC Tops Complex | Consecutive Complex Tops | 连续复杂顶部：市场形成多个复杂的顶部结构，意味着价格可能会经历长期的调整或下跌。
Consecutive Complex Tops that Failed | CC Tops F | Consecutive Complex Tops that Failed | 连续复杂顶部失败：多个复杂顶部形成后，未能触发预期的下跌，反而市场继续上涨，显示出多头力量的持续。
Bear Channel: 4 Types | CH D 4 Types | Bear Channel: 4 Types | 熊市通道：四种类型：熊市通道有多种形式，通常表现为下行趋势的持续，可能是宽通道、紧通道等。
Bear Channel | CH D | Bear Channel | 熊市通道：市场在下行趋势中形成的一个通道，价格在这个区间内震荡下行。
Bear Channel, Bull BO | CH D BL BO | Bear Channel, Bull BO | 熊市通道，突破为多头：尽管市场处于熊市通道中，但发生了一个强烈的多头突破，预示着趋势可能发生逆转。
Broad Bear Channel | CH D Broad | Broad Bear Channel | 宽熊市通道：熊市通道较为宽广，价格波动较大，但总体趋势仍然是下行。
Bear BO below Bear Channel | CH D BR BO | Bear BO below Bear Channel | 熊市突破，突破熊市通道下方：价格突破了熊市通道的下方，通常意味着熊市趋势将继续下行。
Failed BO below Bear Channel | CH D BR BO F | Failed BO below Bear Channel | 熊市突破失败，未能突破熊市通道下方：尽管价格试图突破熊市通道的下方，但未能成功，市场可能反转回升。
Bear Micro Channel | CH D MC | Bear Micro Channel | 熊市微型通道：价格在一个非常窄的下行区间内震荡，显示出熊市的短期加速。
Bear Micro Channel Reversed Up | CH D MC F | Bear Micro Channel Reversed Up | 熊市微型通道反转向上：熊市微型通道结束后，价格反转向上，可能意味着短期内的趋势逆转。
Tight Bear Channel | CH D Tight | Tight Bear Channel | 紧密熊市通道：市场在一个非常窄的下行通道内震荡，价格波动较小，通常表明空头市场的紧张状态。
Bull Channel: 4 Types | CH U 4 Types | Bull Channel: 4 Types | 牛市通道：四种类型：牛市通道有多种形式，通常表现为上涨趋势的持续，可能是宽通道、紧通道等。
Bull Channel | CH U | Bull Channel | 牛市通道：市场在上行趋势中形成的一个通道，价格在这个区间内震荡上涨。
Bull BO above Bull Channel | CH U BL BO | Bull BO above Bull Channel | 牛市突破，突破牛市通道上方：价格突破了牛市通道的上方，通常意味着牛市将进一步加速上涨。
Failed BO above Bull Channel | CH U BL BO F | Failed BO above Bull Channel | 牛市突破失败，未能突破牛市通道上方：虽然价格试图突破牛市通道的上方，但未能成功，市场可能反转下跌。
Bull Channel, Bear BO | CH U BR BO | Bull Channel, Bear BO | 牛市通道，突破为空头：尽管市场处于牛市通道中，但发生了一个强烈的空头突破，可能预示着趋势逆转。
Broad Bull Channel | CH U Broad | Broad Bull Channel | 宽牛市通道：牛市通道较为宽广，价格波动较大，但总体趋势仍然是上涨。
Bull Micro Channel | CH U MC | Bull Micro Channel | 牛市微型通道：价格在一个非常窄的上行区间内震荡，显示出牛市的短期加速。
Bull Micro Channel Reversed Down | CH U MC F | Bull Micro Channel Reversed Down | 牛市微型通道反转向下：牛市微型通道结束后，价格反转向下，可能意味着短期内的趋势逆转。
Tight Bull Channel | CH U Tight | Tight Bull Channel | 紧密牛市通道：市场在一个非常窄的上行通道内震荡，价格波动较小，通常表明多头市场的紧张状态。
Charts: Yearly | Charts Yearly | Charts: Yearly | 年度图表：指分析股票、商品等资产的年度K线图，通常用于观察长期趋势。
Crash on 5 min Chart | Crash 5 min | Crash on 5 min Chart | 5分钟图表上的崩盘：价格在5分钟K线图上发生快速剧烈的下跌，通常预示着市场情绪的剧烈变化。
Crash Up on 5 min Chart, Extreme Buy Climax | Crash Up 5 min | Crash Up on 5 min Chart, Extreme Buy Climax | 5分钟图表上的崩盘上涨，极端买入顶点：价格在5分钟图表上经历剧烈的上涨，可能是过度的买入高潮，预示着市场可能出现回调。
Crash on Daily, Weekly, and Monthly Charts | Crash D W M | Crash on Daily, Weekly, and Monthly Charts | 日线、周线和月线图表上的崩盘：在不同时间周期的图表中，价格出现快速、剧烈的下跌，通常意味着市场出现了非常严重的风险或崩盘。
Cup and Handle Top | CupH D | Cup and Handle Top | 杯柄形顶部：价格图形类似杯子和柄的形状，预示着一个顶部反转的可能性。
Cup and Handle Top that Failed | CupH D F | Cup and Handle Top that Failed | 杯柄形顶部失败：尽管价格形成了杯柄形态，但未能形成预期的顶部反转，价格继续上涨。
Cup and Handle Bottom | CupH U | Cup and Handle Bottom | 杯柄形底部：价格图形类似杯子和柄的形状，预示着一个底部反转的可能性。
Cup and Handle Bottom That Failed | CupH U F | Cup and Handle Bottom That Failed | 杯柄形底部失败：尽管价格形成了杯柄形态，但未能形成预期的底部反转，价格继续下跌。
3 | Data: Adjusted | Data Adjusted | Data: Adjusted | 数据调整：对历史价格数据进行调整，以考虑分红、拆股等因素，通常用于长期数据的准确分析。
Data: Sampled | Data Sampled | Data: Sampled | 数据抽样：从历史数据中选取样本数据进行分析，通常用于数据量庞大的情况。
Double Bottom | DB | Double Bottom | 双重底部：价格在形成两个低点后反弹，通常预示着市场可能出现反转上涨。
Failed Double Bottom | DB F | Failed Double Bottom | 双重底部失败：尽管市场形成了双重底部，但未能实现预期的反转上涨，反而继续下跌。
Double Bottom Bull Flag | DB BLF | Double Bottom Bull Flag | 双重底部多头旗形：双重底部形态后，价格形成了一个多头旗形，预示着上涨的可能性。
Double Bottom Bull Flag, 2nd Buy Signal | DB BLF 2BS | Double Bottom Bull Flag, 2nd Buy Signal | 双重底部多头旗形，第二买入信号：双重底部形态后，价格形成多头旗形，第二次买入信号可能确认进一步的上涨。
Double Bottom Bull Flag, but Bear BO | DB BLF F | Double Bottom Bull Flag, but Bear BO | 双重底部多头旗形，但空头突破：虽然形成了双重底部和多头旗形，但发生了空头突破，意味着市场可能下跌。
Failed BO Below Double Bottom so Wedge Bottom | DB F BO Below | Failed BO Below Double Bottom so Wedge Bottom | 双重底部下方突破失败，因此形成楔形底部：突破双重底部下方失败后，市场形成了一个楔形底部，可能暗示着反转信号。
Micro Double Bottom | DB Micro | Micro Double Bottom | 微型双重底部：价格形成了一个较小的双重底部形态，通常表示短期的底部反转。
Double Bottom Pullback | DB PB | Double Bottom Pullback | 双重底部回调：在双重底部形态之后，价格出现回调，通常是一个健康的市场修正，准备进一步上涨。
Failed Double Bottom Pullback | DB PB F | Failed Double Bottom Pullback | 双重底部回调失败：双重底部回调未能引发上涨，反而价格继续下跌，可能是市场趋势未能逆转。
Disappointed Bulls | Disappointed BL | Disappointed Bulls | 失望的多头：多头市场未能如预期上涨，多头投资者可能感到失望，市场可能出现回调。
Disappointed Bears | Disappointed BR | Disappointed Bears | 失望的空头：空头市场未能如预期下跌，空头投资者可能感到失望，市场可能出现反弹。
Doji Bar | Doji | Doji Bar | 十字星K线：一种具有较小实体和长影线的K线，通常表示市场的不确定性和犹豫。
Doji Day | Doji Day | Doji Day | 十字星日：一天的K线图中形成十字星，表示市场的犹豫，可能是反转的信号。
Double Top | DT | Double Top | 双重顶部：价格在形成两个高点后下跌，通常预示着市场可能进入下行趋势。
Failed Double Top | DT F | Failed Double Top | 双重顶部失败：尽管价格形成了双重顶部，但未能触发下跌，反而继续上涨。
Double Top Bear Flag | DT BRF | Double Top Bear Flag | 双重顶部空头旗形：双重顶部形态后，价格形成空头旗形，预示着进一步下跌的可能性。
Double Top Bear Flag, 2nd Sell Signal | DT BRF 2SS | Double Top Bear Flag, 2nd Sell Signal | 双重顶部空头旗形，第二卖出信号：双重顶部形态后，空头旗形的第二次卖出信号确认进一步的下跌。
Double Top Bear Flag, but Bull BO | DT BRF F | Double Top Bear Flag, but Bull BO | 双重顶部空头旗形，但多头突破：尽管形成了双重顶部和空头旗形，但发生了多头突破，意味着市场可能反转上涨。
Failed BO above Double Top So Wedge Top | DT F BO Above | Failed BO above Double Top So Wedge Top | 双重顶部上方突破失败，因此形成楔形顶部：突破双重顶部上方失败后，市场形成楔形顶部，可能暗示着反转信号。
Micro Double Top | DT Micro | Micro Double Top | 微型双重顶部：价格形成了一个较小的双重顶部形态，通常表示短期的顶部反转。
Double Top Pullback | DT PB | Double Top Pullback | 双重顶部回调：在双重顶部形态之后，价格出现回调，通常是一个健康的市场修正，准备进一步下跌。
Failed Double Top Pullback | DT PB F | Failed Double Top Pullback | 双重顶部回调失败：双重顶部回调未能引发下跌，反而价格继续上涨，可能是市场趋势未能逆转。
Early Close (holiday trading) | Early C | Early Close (holiday trading) | 提前收盘（假期交易）：市场在假期期间通常会提前收盘，交易量较低，价格波动可能较小且不稳定。
End Of Day Tight Trading Range | EOD TTR | End Of Day Tight Trading Range | 日终紧缩交易区间：市场在交易日接近结束时形成一个狭窄的震荡区间，通常表明市场缺乏动能，等待下一交易日的突破。
End Of Day and End of Month, Quarter, or Year | EOD M Qtr Y | End Of Day and End of Month, Quarter, or Year | 日终、月末、季度末或年末：这些时间点通常会有更多的市场活动或变动，投资者可能调整头寸以应对财务报告或税务安排等因素。
End of Week Support and Resistance | EOD Week S/R | End of Week Support and Resistance | 周末支撑和阻力：市场在周末前往往会在某些价格水平形成支撑或阻力，投资者和交易员会在这些水平上做出决策。
Exit Losing Trade | Exit Losing Trade | Exit Losing Trade | 退出亏损交易：指在市场走势不符合预期时，及时止损退出亏损的交易，避免进一步亏损。
Final Bull Flag | FF BL | Final Bull Flag | 最后的多头旗形：在多头趋势的最后阶段形成的一个旗形形态，可能是价格继续上涨前的最后整理。
Final Bull Flag Failed, and Bull Trend Resumed | FF BL F | Final Bull Flag Failed, and Bull Trend Resumed | 最后的多头旗形失败，并且多头趋势恢复：尽管形成了最后的多头旗形，但未能维持，反而市场继续上涨，表明趋势恢复。
Final Bear Flag | FF BR | Final Bear Flag | 最后的空头旗形：在空头趋势的最后阶段形成的一个旗形形态，可能是价格继续下跌前的最后整理。
Final Bear Flag Failed, and Bear Trend Resumed | FF BR F | Final Bear Flag Failed, and Bear Trend Resumed | 最后的空头旗形失败，并且空头趋势恢复：尽管形成了最后的空头旗形，但未能维持，市场反而继续下跌，表明空头趋势恢复。
Flag: Bear | Flag BR | Flag: Bear | 旗形：空头：市场形成一个空头旗形，通常意味着价格在短期内会继续下行。
Failed Bear Flag | Flag BR F | Failed Bear Flag | 空头旗形失败：原本预计价格会继续下跌，但空头旗形未能形成，价格反而上涨，空头趋势失效。
Flag: Bull | Flag BL | Flag: Bull | 旗形：多头：市场形成一个多头旗形，通常意味着价格在短期内可能会继续上涨。
Failed Bull Flag | Flag BL F | Failed Bull Flag | 多头旗形失败：原本预计价格会继续上涨，但多头旗形未能形成，价格反而下跌，多头趋势失效。
Flag, but Looks Bad | Flag Bad | Flag, but Looks Bad | 旗形，但看起来不太好：形成了旗形结构，但其形态不符合典型的旗形模式，可能意味着价格突破的有效性较低。
FOMC Possible Outcomes | FOMC Possible Outcomes | FOMC Possible Outcomes | FOMC可能的结果：在美联储(FOMC)决策会议期间，市场可能出现几种不同的价格行为结果，具体取决于利率决策和市场预期。
FOMC Bear BO | FOMC BO D | FOMC Bear BO | 美联储会议后空头突破：在FOMC会议后，价格发生空头突破，可能表示市场对美联储政策的反应是看跌的。
FOMC Bear BO Failed | FOMC BO D F | FOMC Bear BO Failed | 美联储会议后空头突破失败：尽管市场初期出现空头突破，但未能维持，价格可能反转上涨。
FOMC Bull BO | FOMC BO U | FOMC Bull BO | 美联储会议后多头突破：在FOMC会议后，价格发生多头突破，可能表明市场对美联储政策的反应是看涨的。
FOMC Bull BO Failed | FOMC BO U F | FOMC Bull BO Failed | 美联储会议后多头突破失败：虽然市场初期出现多头突破，但未能维持，价格可能反转下跌。
FOMC then Trading Range | FOMC TR | FOMC then Trading Range | 美联储会议后进入震荡区间：在FOMC决策后，市场进入震荡整理阶段，表明市场未能确定明确的方向。
Follow-Through Selling in Bear Trend | FT D | Follow-Through Selling in Bear Trend | 空头趋势中的延续性卖盘：在空头市场中，卖盘持续发生，表明市场下跌的动力仍然很强。
No Follow-Through Selling in Bear Trend | FT D F | No Follow-Through Selling in Bear Trend | 空头趋势中没有延续性卖盘：尽管市场表现为空头趋势，但卖盘未能持续，价格可能反转回升。
Follow-Through Buying in Bull Trend | FT U | Follow-Through Buying in Bull Trend | 多头趋势中的延续性买盘：在多头市场中，买盘持续发生，表明市场上涨的动力仍然很强。
No Follow-Through Buying in Bull Trend | FT U F | No Follow-Through Buying in Bull Trend | 多头趋势中没有延续性买盘：尽管市场表现为多头趋势，但买盘未能持续，价格可能反转下跌。
4 | Gap on 5 Minute Chart | G 5 Min | Gap on 5 Minute Chart | 5分钟图表上的跳空：在5分钟的时间框架内，价格出现了明显的跳空，通常表示市场的快速反应或消息驱动的波动。
Body Gap in Bear | G Body D | Body Gap in Bear | 空头市场中的实体跳空：在空头市场中，价格的开盘价与前一个K线的收盘价之间存在较大的间隙，通常预示着空头力量的增强。
Closure of Body Gap in Bear | G Body D F | Closure of Body Gap in Bear | 空头市场中的实体跳空闭合：在空头市场中，价格回补了之前的实体跳空，可能意味着空头势头减弱，市场将反转或整理。
Body Gap in Bull | G Body U | Body Gap in Bull | 多头市场中的实体跳空：在多头市场中，价格的开盘价与前一个K线的收盘价之间存在较大的间隙，通常预示着多头力量的增强。
Closure of Body Gap in Bull | G Body U F | Closure of Body Gap in Bull | 多头市场中的实体跳空闭合：在多头市场中，价格回补了之前的实体跳空，可能意味着多头势头减弱，市场将反转或整理。
Gap Down | G D | Gap Down | 跳空下跌：价格在开盘时大幅低开，通常表示市场情绪悲观或受负面新闻影响。
Gap on Daily Chart | G Daily | Gap on Daily Chart | 日线图上的跳空：在日线图上，价格在开盘时出现明显的跳空，通常表示市场在一个较长时间框架内发生剧烈波动。
Exhaustion Gap Down | G E D | Exhaustion Gap Down | 衰竭缺口下跌：在下跌趋势中出现的跳空下跌，通常标志着下行趋势的结束，可能是市场的底部信号。
Exhaustion Gap Down on Daily , Weekly, and Monthly Charts | G E D DWM | Exhaustion Gap Down on Daily, Weekly, and Monthly Charts | 在日线、周线和月线图上的衰竭缺口下跌：在这些长期图表上出现的衰竭缺口下跌，通常预示着下行趋势的结束，市场可能即将反转。
Exhaustion Gap Down Failed and Became Measuring Gap | G E D F so MG | Exhaustion Gap Down Failed and Became Measuring Gap | 衰竭缺口下跌失败并形成测量缺口：衰竭缺口未能成功标志下行趋势的结束，反而形成测量缺口，可能意味着下跌还会继续。
Exhaustion Gap Up | G E U | Exhaustion Gap Up | 衰竭缺口上涨：在上涨趋势中出现的跳空上涨，通常表示多头趋势的结束，市场可能进入回调阶段。
Exhaustion Gap Up on Daily, Weekly, and Monthly Charts | G E U DWM | Exhaustion Gap Up on Daily, Weekly, and Monthly Charts | 在日线、周线和月线图上的衰竭缺口上涨：在这些长期图表上出现的衰竭缺口上涨，通常预示着上行趋势的结束，市场可能即将反转。
Exhaustion Gap Up Failed and Became Measuring Gap | G E U F so MG | Exhaustion Gap Up Failed and Became Measuring Gap | 衰竭缺口上涨失败并形成测量缺口：衰竭缺口未能成功标志上涨趋势的结束，反而形成测量缺口，可能意味着上涨还会继续。
Micro Gaps | G Micro | Micro Gaps | 微型缺口：在非常短的时间框架内（例如5分钟图表）出现的微小跳空，通常意味着价格快速反应并可能出现短期反转。
Gap Based on Open of Bar and Close of Prior Bar | G Open Bar | Gap Based on Open of Bar and Close of Prior Bar | 基于当前K线的开盘价和前一K线的收盘价形成的缺口：市场在开盘时出现的跳空，通常是短期内价格剧烈波动的结果。
Gap Up | G U | Gap Up | 跳空上涨：价格在开盘时大幅高开，通常表示市场情绪乐观或受到积极消息的推动。
5 | Gap Down, 4 Common Outcomes | GD 4 Common Outcomes | Gap Down, 4 Common Outcomes | 跳空下跌，四种常见结果：跳空下跌后，市场可能出现四种常见的反应，如反弹、旗形整理、双重底部或空头趋势的延续。
Gap Down and Rally to a Buy Climax | GD BX | Gap Down and Rally to a Buy Climax | 跳空下跌后反弹至买入高潮：跳空下跌后，市场出现反弹，直到达到买入高潮，通常预示着上涨结束并可能进入回调。
